Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2023/06/28,currently-reading,currently-reading (#4),currently-reading,,,,1,0
83518,The Singularity is Near: When Humans Transcend Biology,Ray Kurzweil,"Kurzweil, Ray",,"=""0143037889""","=""9780143037880""",0,3.93,Penguin ,Paperback,652,2006,2005,,2024/05/30,currently-reading,currently-reading (#3),currently-reading,,,,1,0
62050244,When the Heavens Went on Sale: The Misfits and Geniuses Racing to Put Space Within Reach,Ashlee Vance,"Vance, Ashlee",,"=""0062998870""","=""9780062998873""",4,4.27,Ecco,Hardcover,528,2023,2023,2024/05/30,2024/05/14,,,read,,,,1,0
61663,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,"Sagan, Carl",,"=""0345376595""","=""9780345376596""",0,4.33,Ballantine Books,Paperback,384,1997,1994,,2024/05/15,to-read,to-read (#40),to-read,,,,0,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",5,4.23,Crown Publishers,Hardcover,374,2011,2011,2024/05/14,2023/07/17,,,read,,,,1,0
10883,Benjamin Franklin: An American Life,Walter Isaacson,"Isaacson, Walter",,"=""074325807X""","=""9780743258074""",0,4.04,Simon & Schuster,Paperback,586,2004,2003,,2023/05/04,currently-reading,currently-reading (#2),currently-reading,,,,1,0
35167685,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",,"=""0393355624""","=""9780393355628""",5,4.27,W. W. Norton & Company,Paperback,400,2018,1985,2024/04/29,2023/06/28,,,read,,,,1,0
21413662,What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,"=""0544272994""","=""9780544272996""",0,4.14,Dey Street Books,Hardcover,303,2014,2014,,2024/04/21,to-read,to-read (#39),to-read,,,,0,0
18170143,An Astronaut's Guide to Life on Earth,Chris Hadfield,"Hadfield, Chris",,"=""0316253014""","=""9780316253017""",0,4.17,"Little, Brown and Company",Hardcover,295,2013,2013,,2024/04/21,to-read,to-read (#38),to-read,,,,0,0
44882,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,"Petzold, Charles",,"=""0735611319""","=""9780735611313""",0,4.39,Microsoft Press,Paperback,400,2000,1999,,2023/06/28,currently-reading,currently-reading (#1),currently-reading,,,,1,0
59575939,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong,"Yong, Ed",,"=""""","=""""",0,4.47,Random House,Hardcover,464,2022,2022,,2024/04/10,to-read,to-read (#37),to-read,,,,0,0
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,"Rovelli, Carlo",,"=""0399184414""","=""9780399184413""",0,3.98,Riverhead Books,Hardcover,81,2016,2014,,2024/04/10,to-read,to-read (#36),to-read,,,,0,0
44492285,"Dune Messiah (Dune, #2)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098234""","=""9780593098233""",4,3.89,Ace,Mass Market Paperback,336,2019,1969,2024/04/09,2023/07/17,,,read,,,,1,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",0,4.13,Random House: Modern Library,Paperback,272,2004,1890,,2024/04/05,to-read,to-read (#35),to-read,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.14,Ballantine Books,Hardcover,352,2016,2016,,2024/03/31,to-read,to-read (#34),to-read,,,,0,0
60321447,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,"=""1982172002""","=""9781982172008""",0,4.44,Scribner,Hardcover,464,2022,2022,,2024/03/31,to-read,to-read (#33),to-read,,,,0,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",3,3.69,Penguin Books ,Paperback,182,1999,1954,2024/03/28,2024/03/27,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu","Ken Liu, Cixin Liu","=""""","=""""",0,4.09,Tor Books,Hardcover,472,2014,2006,2024/03/27,2024/03/23,,,read,,,,1,0
62050269,"A Brief History of Intelligence: Evolution, AI, and the Five Breakthroughs That Made Our Brains",Max Solomon Bennett,"Bennett, Max Solomon",,"=""0063286343""","=""9780063286344""",5,4.48,Mariner Books,Hardcover,432,2023,,2024/03/21,2024/01/18,,,read,,,,1,0
53349431,The Art of Doing Science and Engineering: Learning to Learn,Richard W. Hamming,"Hamming, Richard W.",Bret Victor,"=""1732265178""","=""9781732265172""",0,4.16,Stripe Press,Hardcover,398,2020,1996,,2024/03/09,to-read,to-read (#32),to-read,,,,0,0
4711854,The Machine Stops,E.M. Forster,"Forster, E.M.",,"=""140990329X""","=""9781409903291""",5,4.07,Dodo Pr,Paperback,35,2008,1909,,2023/05/04,,,read,,,,1,0
10127019,The Lean Startup,Eric Ries,"Ries, Eric",,"=""0307887898""","=""9780307887894""",4,4.11,Best Business,Board Book,299,2011,2011,2024/03/03,2024/02/20,,,read,,,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",4,4.27,Del Rey,Hardcover,382,2014,2014,2024/03/01,2024/02/22,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.51,Ballantine Books,Hardcover,476,2021,2021,2024/02/15,2023/08/09,,,read,,,,1,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.29,Basic Books,Paperback,756,1999,1979,,2024/02/05,to-read,to-read (#31),to-read,,,,0,0
157686100,Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Munger, Charles T.","John Collison, Warren Buffett, Peter D. Kaufman","=""1953953247""","=""9781953953247""",0,4.43,Stripe Press,Kindle Edition,433,2023,2005,,2024/01/25,to-read,to-read (#30),to-read,,,,0,0
10091482,The Feynman Lectures on Physics,Richard P. Feynman,"Feynman, Richard P.","Robert B. Leighton, Matthew Sands","=""0465023827""","=""9780465023820""",0,4.61,Basic Books,Hardcover,1552,2011,1964,,2024/01/23,to-read,to-read (#29),to-read,,,,0,0
21856367,"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""147670869X""","=""9781476708690""",5,4.11,Simon and Schuster,Hardcover,542,2014,2011,2024/01/23,2023/12/22,,,read,,,,1,0
33387769,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""0765397536""","=""9780765397539""",0,4.15,Tor.com,Paperback,152,2017,2017,,2024/01/23,to-read,to-read (#28),to-read,,,,0,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",4,3.96,Scholastic Press,Kindle Edition,541,2020,2020,2024/01/05,2023/11/04,,,read,,,,1,0
830502,It,Stephen King,"King, Stephen",,"=""0450411435""","=""9780450411434""",0,4.24,New English Library,Paperback,1168,1987,1986,,2023/12/27,to-read,to-read (#27),to-read,,,,0,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",4,4.09,Scholastic Press,Hardcover,390,2010,2010,2023/12/25,2023/11/04,,,read,,,,1,0
309768,Linear Algebra Done Right (Undergraduate Texts in Mathematics),Sheldon Axler,"Axler, Sheldon",,"=""0387982582""","=""9780387982588""",0,4.37,Springer,Paperback,272,2004,1995,,2023/12/22,to-read,to-read (#26),to-read,,,,0,0
20527133,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""0199678111""","=""9780199678112""",3,3.86,Oxford University Press,Hardcover,352,2014,2014,2023/12/18,2023/12/11,,,read,,,,1,0
34928122,Artemis,Andy Weir,"Weir, Andy",,"=""0553448129""","=""9780553448122""",0,3.69,Crown,Hardcover,305,2017,2017,,2023/12/09,to-read,to-read (#25),to-read,,,,0,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",5,4.31,Scholastic Press,Hardcover,391,2009,2009,2023/12/08,2023/11/04,,,read,,,,1,0
13912,A Beautiful Mind,Sylvia Nasar,"Nasar, Sylvia",,"=""0571212921""","=""9780571212927""",4,4.13,Faber and Faber,Paperback,461,1999,1998,,2023/11/27,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.34,Scholastic Press,Hardcover,374,2008,2008,2023/11/09,2023/10/29,,,read,,,,1,0
55001095,"I, Robot",Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",0,4.21,Spectra,Kindle Edition,304,2004,1950,2023/10/29,2023/10/11,,,read,,,,1,0
29807115,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,"=""0198788606""","=""9780198788607""",0,4.16,Oxford University Press,Paperback,464,2016,1976,,2023/08/09,,,read,,,,1,0
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""1400052920""","=""9781400052929""",5,4.23,Crown,Hardcover,215,2004,1979,2023/10/08,2023/05/04,,,read,,,,1,0
122765395,Elon Musk,Walter Isaacson,"Isaacson, Walter",,"=""1982181281""","=""9781982181284""",5,4.40,Simon & Schuster,Hardcover,688,2023,2023,2023/10/01,2023/09/13,,,read,,,,1,0
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400063515""","=""9781400063512""",0,3.96,Random House ,Hardcover,480,2007,2007,,2023/09/28,to-read,to-read (#24),to-read,,,,0,0
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",0,4.26,Small Beer Press,ebook,281,2010,2002,,2023/09/25,,,read,,,,1,0
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",0,4.21,Harvest Books,Paperback,311,2005,1966,,2023/06/23,to-read,to-read (#8),to-read,,,,0,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",5,3.99,Signet Classics,Mass Market Paperback,141,1996,1945,2023/09/04,2023/05/04,,,read,Another George Orwell classic on totalitarianism. Great and timeless read.,,,2,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.21,Harper,Kindle Edition,450,2017,2015,2023/08/28,2023/06/23,,,read,,,,1,0
6602781,Einstein: His Life and Universe,Walter Isaacson,"Isaacson, Walter",,"=""""","=""""",5,4.16,Simon & Schuster,Kindle Edition,706,2007,2007,2023/08/12,2023/06/23,,,read,,,,1,0
1381,The Odyssey,Homer,"Homer, Homer","Bernard Knox, Robert Fagles","=""0143039954""","=""9780143039952""",0,3.81,Penguin Classics ,Paperback,541,2006,-700,,2023/08/09,to-read,to-read (#23),to-read,,,,0,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.42,Ballantine Books,Hardcover,384,2014,2011,2023/08/08,2023/06/28,,,read,The level of scientific detail and sci-fi. Mixed in with comedy is amazing. 15/10,,,1,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",3,4.31,Tor,Mass Market Paperback,324,2004,1985,2023/08/06,2023/08/04,,,read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",5,4.02,Vintage International,Paperback,159,1989,1942,2023/08/01,2023/05/17,,,read,,,,1,0
34272565,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"Tegmark, Max",Rob Shapiro,"=""0451485076""","=""9780451485076""",5,4.01,Random House Audio Publishing Group,Audio CD,384,2017,2017,2023/06/01,2023/08/01,,,read,I like the way Max explained neural networks and how he formulated different variants of the future of AI back by all his knowledge he’s accumulated throughout the years at MIT. My favorite chapter is the one on consciousness. ,,,1,0
61215351,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.39,William Morrow,Kindle Edition,432,2022,1954,2023/08/01,2023/07/30,,,read,,,,1,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.32,Scribner,Hardcover,544,2014,2014,,2023/07/29,to-read,to-read (#22),to-read,,,,0,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte Gordon,"=""""","=""""",0,3.87,Penguin Classics,Paperback,260,2018,1818,,2023/07/26,to-read,to-read (#21),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.27,Ace,Hardcover,658,2019,1965,2023/07/17,2023/05/04,,,read,This is my favorite book I have read. The way the characters are played and the sci fi just mixes well. I made a longer review on YouTube if you guys want to check it out. <br/><br/>https://youtu.be/BblCOzyKWJA,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",5,3.97,Simon & Schuster,Kindle Edition,194,2011,1953,2023/06/28,2023/05/04,,,read,Great book. I made a longer review comparing it to modern times on YouTube. — https://youtu.be/nKsp7kz-XkU,,,2,0
8049273,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,"Greene, Brian",,"=""039333810X""","=""9780393338102""",5,4.09,W. W. Norton & Company,Paperback,464,2010,1999,2023/07/24,2023/06/28,,,read,I like the way Brian explains physics. This book can be highly technical for just a beginner to physics. Loved the book looking to buy his other books.,,,1,0
80571,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,"Bird, Kai",Martin J. Sherwin,"=""""","=""""",0,4.31,Vintage Books,Paperback,721,2007,2005,,2023/07/23,to-read,to-read (#20),to-read,,,,0,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",0,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,2023/07/22,to-read,to-read (#19),to-read,,,,0,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.02,Spectra,Kindle Edition,559,2018,1992,,2023/07/19,to-read,to-read (#18),to-read,,,,0,0
4099,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,"Hunt, Andy",Dave         Thomas,"=""020161622X""","=""9780201616224""",5,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,2023/07/19,2023/05/17,,,read,,,,1,0
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""""","=""""",0,4.02,Vintage International,Paperback,308,1991,1947,,2023/07/17,to-read,to-read (#17),to-read,,,,0,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",0,3.93,Scribner,Paperback,180,1925,1925,,2023/07/17,to-read,to-read (#16),to-read,,,,0,0
